session_id,chain_id,n,delta,mu,alpha_lr,beta_exp,D,Delta,avg_price,converged,Z_hq
296,26,2,0.99,0.5098053041116407,0.22803143855793773,4e-06,1,0.17501725947042746,1.8877542233318945,1,0.5897435897435898
297,0,3,0.6898847421472867,0.1168681861574348,0.011243531953049307,4e-06,1,0.24662171506162978,1.4162828509363017,0,0.6923076923076923
298,1,3,0.7288746059110892,0.15738864423195256,0.16398532986591932,4e-06,1,0.1351763069701168,1.520574011045208,0,0.48717948717948717
299,2,3,0.6835864010661956,0.09238111965856657,0.23866580401725185,4e-06,1,0.09515057087889281,1.2952364585374114,0,0.717948717948718
300,3,3,0.6306716358716407,0.275860001512364,0.03860940424572317,4e-06,1,0.26805961931493644,1.716511223636866,0,0.6923076923076923
301,4,3,0.7531452426739774,0.2873690488051562,0.1787877157725022,4e-06,0,0.0,1.4220420383512948,1,0.2564102564102564
302,5,3,0.733164842842642,0.26214565262907125,0.20184186258602296,4e-06,1,0.18178574202037154,1.5072299314719757,0,0.38461538461538464
303,6,3,0.722243010952926,0.5053178410084657,0.05873694250542139,4e-06,0,7.538484428488227e-07,1.7030456699414043,1,0.5128205128205128
304,7,3,0.7490413563964271,0.4139883513865177,0.14047684335486954,4e-06,1,0.29775078332610233,1.8104145056268777,1,0.5897435897435898
305,8,3,0.7037673223292924,0.5374627331723152,0.21740296421228228,4e-06,0,0.0,1.7426402233532763,1,0.5384615384615384
306,9,3,0.8133670609081425,0.0798426392896097,0.09432180902510105,4e-06,1,0.15776818803182052,1.1833985597826013,0,0.38461538461538464
307,10,3,0.7751512753575605,0.1558695268418464,0.16807957338919496,4e-06,1,0.1400193298580446,1.2817447155595123,0,0.6153846153846154
308,11,3,0.8730218603999957,0.0577054171315657,0.28547592225257973,4e-06,1,0.10682327627904378,1.3270873212760559,0,0.6923076923076923
309,12,3,0.8303337754013806,0.23258045791763246,0.07084011834885226,4e-06,0,0.0,1.345485922246774,1,0.5128205128205128
310,13,3,0.8760699256561216,0.24973615931543286,0.16539599433231542,4e-06,1,0.23819189640373353,1.6570989193550574,0,0.8461538461538461
311,14,3,0.78728278334278,0.28782811970688954,0.29103722352162914,4e-06,1,0.19288176897495837,1.5950470486887494,0,0.5384615384615384
312,15,3,0.9391709444222389,0.5298647084883595,0.07913417020468735,4e-06,0,0.0,1.7333053372326657,1,0.358974358974359
313,16,3,0.8416236469184156,0.5117159178895855,0.19203558825101688,4e-06,0,0.0,1.710948417947536,1,0.5128205128205128
314,17,3,0.8135422550745084,0.5247328118715494,0.2776345223918438,4e-06,0,0.0,1.7269922482332414,1,0.1794871794871795
315,18,3,0.9391628747936877,0.07213032498608263,0.02395419708077661,4e-06,1,0.22704257239091247,1.4061014123214137,0,0.6666666666666666
316,19,3,0.959477944461838,0.0974965365032022,0.13680036886410873,4e-06,0,3.7696523975981523e-06,1.1462434485284452,1,0.5897435897435898
317,20,3,0.99,0.08006121999810607,0.2608177503297052,4e-06,1,0.2166040522383192,1.3145279622221175,0,0.46153846153846156
318,21,3,0.99,0.24567917019835972,0.058701211894506056,4e-06,0,3.1461254015971244e-07,1.3640711324050532,1,0.46153846153846156
319,22,3,0.9377373751485176,0.2322033944538892,0.14023364965441404,4e-06,1,0.25664464285804534,1.7755237184333783,0,0.6153846153846154
320,23,3,0.9457910346299652,0.23814267564989586,0.29401543752127124,4e-06,0,0.0,1.3533972178315672,1,0.38461538461538464
321,24,3,0.9536297025500868,0.5535595518267418,0.06071958268131881,4e-06,0,0.0,1.762372383835162,1,0.38461538461538464
322,25,3,0.921015557939291,0.47438722332237765,0.16379117865044962,4e-06,0,4.015512943550934e-06,1.6646627672267662,1,0.358974358974359
323,26,3,0.8985442665966521,0.45919224901132016,0.20718590793441277,4e-06,0,2.7694666297358376e-07,1.6456838235170974,1,0.6153846153846154
324,0,2,0.7043794143778834,0.13375131765124076,0.04959752639225574,4e-06,0,3.0376768050128895e-06,1.2669491125838601,1,0.717948717948718
